Date,Cafes & Food Courts/FSI,Value of F&B Sales/$mil,Food Servicing Services/CPI,Supermarkets/RSI,Food&Alcohol/RSI,COVID-19 Confirmed
2010 Jan,91.84700000000001,525,82.619,81.587,96.059,0.0
2010 Feb,86.76,529,82.669,81.439,140.235,0.0
2010 Mar,95.833,528,82.789,75.561,82.87100000000001,0.0
2010 Apr,96.23700000000001,525,82.863,74.29899999999999,85.464,0.0
2010 May,98.346,565,82.875,80.317,92.041,0.0
2010 Jun,98.635,544,82.914,74.99600000000001,86.48700000000001,0.0
2010 Jul,99.818,561,83.09,77.661,94.735,0.0
2010 Aug,96.155,557,83.108,81.969,97.794,0.0
2010 Sep,97.575,557,83.209,75.68,94.86399999999999,0.0
2010 Oct,100.399,586,83.332,79.51899999999999,96.678,0.0
2010 Nov,96.573,575,83.346,77.429,95.20200000000001,0.0
2010 Dec,105.042,634,83.667,84.399,105.58200000000001,0.0
2011 Jan,99.75399999999999,607,83.954,98.521,150.97799999999998,0.0
2011 Feb,87.28299999999999,595,84.157,73.558,98.205,0.0
2011 Mar,101.51100000000001,604,84.579,79.14,93.553,0.0
2011 Apr,99.26799999999999,603,84.913,81.081,95.515,0.0
2011 May,101.44200000000001,643,84.997,84.236,97.346,0.0
2011 Jun,103.65799999999999,640,85.133,78.184,97.236,0.0
2011 Jul,106.869,665,85.525,83.28,99.55799999999999,0.0
2011 Aug,100.89299999999999,637,85.624,86.13,104.134,0.0
2011 Sep,100.985,641,85.723,78.09,96.18799999999999,0.0
2011 Oct,101.947,666,86.252,84.505,104.12700000000001,0.0
2011 Nov,99.009,660,86.347,78.932,100.41,0.0
2011 Dec,107.198,732,86.464,87.992,117.256,0.0
2012 Jan,99.62899999999999,726,86.659,103.585,172.317,0.0
2012 Feb,96.652,663,86.87,75.515,95.26700000000001,0.0
2012 Mar,103.594,704,86.854,82.29299999999999,98.49799999999999,0.0
2012 Apr,101.559,692,86.966,81.719,99.06200000000001,0.0
2012 May,103.802,713,87.026,84.056,100.786,0.0
2012 Jun,103.42299999999999,718,87.113,81.11399999999999,97.67,0.0
2012 Jul,106.53,726,87.285,85.522,103.34700000000001,0.0
2012 Aug,104.676,718,87.336,89.625,108.28399999999999,0.0
2012 Sep,103.305,708,87.451,83.16,102.425,0.0
2012 Oct,103.491,724,87.654,86.70200000000001,103.79700000000001,0.0
2012 Nov,99.637,720,87.719,82.679,105.209,0.0
2012 Dec,107.86200000000001,782,87.747,91.99700000000001,124.60600000000001,0.0
2013 Jan,99.29799999999999,725,88.024,94.15100000000001,133.866,0.0
2013 Feb,91.12799999999999,730,88.072,92.24799999999999,148.308,0.0
2013 Mar,102.432,757,88.221,88.15899999999999,105.354,0.0
2013 Apr,100.54,725,88.425,84.74700000000001,103.859,0.0
2013 May,103.352,757,88.595,89.024,108.204,0.0
2013 Jun,102.04799999999999,769,88.731,87.791,105.40299999999999,0.0
2013 Jul,105.17299999999999,762,88.932,88.71,109.816,0.0
2013 Aug,103.697,761,89.4,94.139,115.436,0.0
2013 Sep,101.244,752,89.446,86.02600000000001,108.0,0.0
2013 Oct,100.86399999999999,767,89.785,89.51700000000001,107.929,0.0
2013 Nov,97.711,763,89.833,87.494,107.18700000000001,0.0
2013 Dec,105.306,829,89.936,95.235,124.635,0.0
2014 Jan,102.001,824,90.584,112.98899999999999,206.65400000000002,0.0
2014 Feb,92.49600000000001,767,90.839,78.694,98.48899999999999,0.0
2014 Mar,103.834,792,91.009,92.06700000000001,109.045,0.0
2014 Apr,99.91799999999999,762,91.125,88.495,107.61200000000001,0.0
2014 May,102.89,819,91.412,93.494,114.01700000000001,0.0
2014 Jun,101.03,793,91.519,88.84299999999999,104.85799999999999,0.0
2014 Jul,101.944,797,91.614,94.98899999999999,109.634,0.0
2014 Aug,103.805,847,91.659,96.42,120.43299999999999,0.0
2014 Sep,101.161,802,91.804,89.00200000000001,104.27,0.0
2014 Oct,104.59299999999999,840,92.05,93.2,111.81,0.0
2014 Nov,99.7,815,92.183,91.367,109.84700000000001,0.0
2014 Dec,107.161,879,92.351,98.137,125.09200000000001,0.0
2015 Jan,100.822,818,92.829,100.818,119.429,0.0
2015 Feb,89.06200000000001,820,92.81,106.22200000000001,161.90200000000002,0.0
2015 Mar,99.132,810,92.935,92.791,108.723,0.0
2015 Apr,96.432,771,93.154,90.932,101.03,0.0
2015 May,99.014,818,93.483,98.902,107.441,0.0
2015 Jun,96.02,773,93.721,91.546,99.98200000000001,0.0
2015 Jul,99.6,809,93.858,95.735,106.354,0.0
2015 Aug,99.84299999999999,834,93.936,101.932,113.54799999999999,0.0
2015 Sep,97.54299999999999,800,94.023,92.63799999999999,105.185,0.0
2015 Oct,97.881,826,94.23,95.715,98.92200000000001,0.0
2015 Nov,92.94,798,94.282,92.48700000000001,96.821,0.0
2015 Dec,97.816,848,94.324,98.587,112.619,0.0
2016 Jan,99.035,835,94.525,111.04799999999999,119.382,0.0
2016 Feb,92.08200000000001,834,94.831,98.85799999999999,104.766,0.0
2016 Mar,103.84700000000001,823,94.992,93.975,96.811,0.0
2016 Apr,99.444,807,95.204,93.8,93.38799999999999,0.0
2016 May,102.97399999999999,846,95.311,98.587,102.97200000000001,0.0
2016 Jun,100.399,799,95.403,90.535,94.096,0.0
2016 Jul,102.2,864,95.552,97.88799999999999,97.124,0.0
2016 Aug,99.535,837,95.706,98.346,105.213,0.0
2016 Sep,103.303,852,95.763,89.958,97.76100000000001,0.0
2016 Oct,100.616,856,95.87,96.46,100.76700000000001,0.0
2016 Nov,95.932,811,95.926,89.771,94.98100000000001,0.0
2016 Dec,101.11200000000001,869,96.04,98.369,112.535,0.0
2017 Jan,99.238,923,96.173,126.266,127.399,0.0
2017 Feb,95.086,832,96.31,88.309,83.006,0.0
2017 Mar,106.148,831,96.457,96.22200000000001,93.084,0.0
2017 Apr,99.88600000000001,806,96.613,97.51299999999999,90.0,0.0
2017 May,99.11,820,96.724,100.789,97.287,0.0
2017 Jun,96.557,792,96.829,95.911,88.249,0.0
2017 Jul,102.76799999999999,850,96.938,100.711,102.676,0.0
2017 Aug,103.265,851,96.958,102.425,111.993,0.0
2017 Sep,100.615,840,97.012,96.185,96.53399999999999,0.0
2017 Oct,99.12899999999999,850,97.186,99.315,98.695,0.0
2017 Nov,97.979,831,97.294,93.512,99.721,0.0
2017 Dec,100.221,893,97.447,102.84200000000001,111.35600000000001,0.0
2018 Jan,98.682,821,97.549,105.96700000000001,126.146,0.0
2018 Feb,89.206,883,97.668,110.104,134.52,0.0
2018 Mar,102.045,872,97.845,96.225,100.829,0.0
2018 Apr,97.946,810,98.136,94.738,95.38,0.0
2018 May,96.87700000000001,842,98.225,99.684,95.573,0.0
2018 Jun,94.89,831,98.297,94.545,87.34899999999999,0.0
2018 Jul,100.935,860,98.426,97.259,95.869,0.0
2018 Aug,103.693,896,98.553,101.37700000000001,106.31700000000001,0.0
2018 Sep,98.45200000000001,858,98.613,95.24,97.63600000000001,0.0
2018 Oct,101.315,866,98.655,96.449,99.46,0.0
2018 Nov,99.802,863,98.728,92.177,96.367,0.0
2018 Dec,101.324,938,98.827,102.139,108.566,0.0
2019 Jan,100.73100000000001,883,99.268,116.626,137.362,0.0
2019 Feb,89.212,878,99.413,95.961,105.551,0.0
2019 Mar,104.366,889,99.647,97.572,97.182,0.0
2019 Apr,100.374,843,99.74,93.946,92.13799999999999,0.0
2019 May,98.15799999999999,862,99.871,100.454,94.865,0.0
2019 Jun,96.29700000000001,878,99.978,93.90299999999999,88.045,0.0
2019 Jul,101.351,892,100.078,98.484,96.679,0.0
2019 Aug,102.662,931,100.272,103.47200000000001,106.37700000000001,0.0
2019 Sep,101.34299999999999,897,100.316,96.59100000000001,95.865,0.0
2019 Oct,102.759,905,100.368,98.295,99.28399999999999,0.0
2019 Nov,101.055,910,100.448,94.319,94.67399999999999,0.0
2019 Dec,102.204,958,100.603,103.914,107.75200000000001,0.0
2020 Jan,100.412,965,100.761,127.73700000000001,145.067,13.0
2020 Feb,87.87700000000001,731,101.057,111.035,65.446,102.0
2020 Mar,91.456,681,101.159,133.28799999999998,58.615,926.0
2020 Apr,57.058,401,101.238,164.576,41.157,16169.0
2020 May,54.138999999999996,425,101.252,156.619,38.63,34884.0
2020 Jun,64.352,498,101.305,134.72,48.653999999999996,43907.0
2020 Jul,84.333,671,101.373,126.556,55.093,52205.0
2020 Aug,85.146,670,101.429,126.079,62.643,56812.0
2020 Sep,82.585,629,101.465,113.868,56.548,57639.0
